RUN	simulations.Browser.GetDataSimulation	getdatasimulation	1680132542886	Test APM Grafana Loki	3.3.1
REQUEST	19		Get Data	1680132571162	1680132571277	OK	 
REQUEST	4		Get Data	1680132570646	1680132571347	OK	 
REQUEST	14		Get Data	1680132571242	1680132571355	OK	 
REQUEST	8		Get Data	1680132571242	1680132571359	OK	 
REQUEST	9		Get Data	1680132571382	1680132571502	OK	 
REQUEST	6		Get Data	1680132571022	1680132571596	OK	 
REQUEST	20		Get Data	1680132571486	1680132571606	OK	 
REQUEST	18		Get Data	1680132571243	1680132571658	OK	 
REQUEST	1		Get Data	1680132571255	1680132571673	OK	 
REQUEST	3		Get Data	1680132571255	1680132571675	OK	 
REQUEST	16		Get Data	1680132571782	1680132571907	OK	 
REQUEST	15		Get Data	1680132571919	1680132572080	OK	 
REQUEST	5		Get Data	1680132572016	1680132572122	OK	 
REQUEST	10		Get Data	1680132572089	1680132572202	OK	 
REQUEST	17		Get Data	1680132572136	1680132572254	OK	 
REQUEST	13		Get Data	1680132572182	1680132572302	OK	 
REQUEST	12		Get Data	1680132572202	1680132572309	OK	 
REQUEST	4		Get Data	1680132572354	1680132572464	OK	 
REQUEST	8		Get Data	1680132572369	1680132572503	OK	 
REQUEST	9		Get Data	1680132572493	1680132572609	OK	 
REQUEST	6		Get Data	1680132572600	1680132572712	OK	 
REQUEST	20		Get Data	1680132572602	1680132572712	OK	 
REQUEST	18		Get Data	1680132572664	1680132572777	OK	 
REQUEST	3		Get Data	1680132572680	1680132572796	OK	 
REQUEST	2		Get Data	1680132572167	1680132572909	OK	 
REQUEST	16		Get Data	1680132572913	1680132573026	OK	 
REQUEST	19		Get Data	1680132572291	1680132573120	OK	 
REQUEST	14		Get Data	1680132572354	1680132573151	OK	 
REQUEST	15		Get Data	1680132573082	1680132573193	OK	 
REQUEST	5		Get Data	1680132573145	1680132573256	OK	 
REQUEST	10		Get Data	1680132573207	1680132573321	OK	 
REQUEST	17		Get Data	1680132573242	1680132573359	OK	 
REQUEST	12		Get Data	1680132573301	1680132573418	OK	 
REQUEST	13		Get Data	1680132573300	1680132573421	OK	 
REQUEST	4		Get Data	1680132573472	1680132573585	OK	 
REQUEST	11		Get Data	1680132572074	1680132573664	OK	 
REQUEST	9		Get Data	1680132573609	1680132573715	OK	 
REQUEST	6		Get Data	1680132573702	1680132573822	OK	 
REQUEST	20		Get Data	1680132573733	1680132573838	OK	 
REQUEST	1		Get Data	1680132572681	1680132573840	OK	 
REQUEST	8		Get Data	1680132573500	1680132573843	OK	 
REQUEST	7		Get Data	1680132570632	1680132573866	OK	 
REQUEST	18		Get Data	1680132573779	1680132573890	OK	 
REQUEST	3		Get Data	1680132573794	1680132573907	OK	 
REQUEST	2		Get Data	1680132573903	1680132574038	OK	 
REQUEST	16		Get Data	1680132574028	1680132574151	OK	 
REQUEST	14		Get Data	1680132574151	1680132574303	OK	 
REQUEST	15		Get Data	1680132574197	1680132574310	OK	 
REQUEST	19		Get Data	1680132574120	1680132574369	OK	 
REQUEST	5		Get Data	1680132574260	1680132574392	OK	 
REQUEST	10		Get Data	1680132574323	1680132574438	OK	 
REQUEST	17		Get Data	1680132574354	1680132574463	OK	 
REQUEST	12		Get Data	1680132574415	1680132574522	OK	 
REQUEST	4		Get Data	1680132574585	1680132574692	OK	 
REQUEST	9		Get Data	1680132574709	1680132574836	OK	 
REQUEST	20		Get Data	1680132574832	1680132574950	OK	 
REQUEST	8		Get Data	1680132574852	1680132574963	OK	 
REQUEST	18		Get Data	1680132574878	1680132574984	OK	 
REQUEST	3		Get Data	1680132574909	1680132575021	OK	 
REQUEST	1		Get Data	1680132574817	1680132575356	OK	 
REQUEST	2		Get Data	1680132575048	1680132575373	OK	 
REQUEST	13		Get Data	1680132574415	1680132575373	OK	 
REQUEST	19		Get Data	1680132575360	1680132575471	OK	 
REQUEST	15		Get Data	1680132575342	1680132575513	OK	 
REQUEST	16		Get Data	1680132575155	1680132575528	OK	 
REQUEST	14		Get Data	1680132575295	1680132575528	OK	 
REQUEST	5		Get Data	1680132575388	1680132575533	OK	 
REQUEST	10		Get Data	1680132575434	1680132575543	OK	 
REQUEST	11		Get Data	1680132574652	1680132575570	OK	 
REQUEST	12		Get Data	1680132575526	1680132575635	OK	 
REQUEST	6		Get Data	1680132574816	1680132575660	OK	 
REQUEST	17		Get Data	1680132575482	1680132576000	OK	 
REQUEST	20		Get Data	1680132575956	1680132576076	OK	 
REQUEST	8		Get Data	1680132575957	1680132576092	OK	 
REQUEST	18		Get Data	1680132575987	1680132576092	OK	 
REQUEST	4		Get Data	1680132575694	1680132576102	OK	 
REQUEST	3		Get Data	1680132576018	1680132576123	OK	 
REQUEST	9		Get Data	1680132575849	1680132576168	OK	 
REQUEST	15		Get Data	1680132576482	1680132576589	OK	 
REQUEST	19		Get Data	1680132576482	1680132576591	OK	 
REQUEST	16		Get Data	1680132576512	1680132576618	OK	 
REQUEST	1		Get Data	1680132576372	1680132576621	OK	 
REQUEST	5		Get Data	1680132576528	1680132576637	OK	 
REQUEST	10		Get Data	1680132576543	1680132576656	OK	 
REQUEST	11		Get Data	1680132576562	1680132576669	OK	 
REQUEST	12		Get Data	1680132576636	1680132576741	OK	 
REQUEST	2		Get Data	1680132576372	1680132576751	OK	 
REQUEST	13		Get Data	1680132576388	1680132576751	OK	 
REQUEST	6		Get Data	1680132576666	1680132576812	OK	 
REQUEST	14		Get Data	1680132576532	1680132576835	OK	 
REQUEST	7		Get Data	1680132574863	1680132577065	OK	 
